fullcurrname,CAS_SPC
Dorosoma petenense,1140
Nematalosa papuensis,1142
Nematalosa japonica,1150
Dussumieria elopsoides,1152
Dussumieria acuta,1153
Clupea harengus,1154
Harengula humeralis,1155
Alosa alosa,1156
Clupanodon thrissa,1157
Engraulis encrasicolus,1158
Coilia mystus,1159
Chirocentrus dorab,1160
Alosa chrysochloris,1161
Corica soborna,1162
Dorosoma cepedianum,1163
Raconda russeliana,1164
Coilia ramcarati,1165
Raconda russeliana,1166
NULL,1167
Menidia menidia,1168
Ilisha africana,1169
Thryssa hamiltonii,1170
Setipinna phasa,1171
Odontognathus mucronatus,1173
NULL,1174
Pristigaster cayana,1175
Coilia mystus,1176
Ilisha elongata,1177
Sprattus sprattus,1178
Sardinella albella,1179
Sardinella aurita,1181
Alosa alosa,1182
Sprattus sprattus,1183
Pellona flavipinnis,1184
Dussumieria acuta,1185
Amblygaster clupeoides,1186
Anodontostoma chacunda,1187
Coilia dussumieri,1188
Clupeoides borneensis,1189
Spratelloides gracilis,1190
Etrumeus micropus,1191
Clupeichthys goniognathus,1194
Sardinella aurita,1195
Opisthopterus tardoore,1196
Alosa pseudoharengus,1197
Opisthonema oglinum,1198
Pellonula vorax,1199
Chirocentrodon bleekerianus,1200
Setipinna phasa,1201
Cetengraulis edentulus,1202
Pterengraulis atherinoides,1203
Setipinna breviceps,1204
Lycengraulis grossidens,1205
Lycothrissa crocodilus,1206
Harengula NULL,1207
Chirocentrus dorab,1209
Clupeonella grimmi,1210
Sardina pilchardus,1211
Etrumeus acuminatus,1212
Hyperlophus vittatus,1213
Lile stolifera,1214
Jenkinsia stolifera,1215
Hyperlophus vittatus,1216
Dorosoma petenense,1217
Odaxothrissa losera,1218
Konosirus punctatus,1219
Microthrissa royauxi,1220
Rhinosardinia amazonica,1221
Gudusia chapra,1222
Anchoviella perfasciata,1223
Rhinosardinia amazonica,1224
Ilisha elongata,1225
Engraulis australis,1226
Anchoa compressa,1227
Anchoviella balboae,1228
Stolephorus commersonnii,1229
Coilia ramcarati,1230
Ehirava fluviatilis,1231
Nematalosa erebi,1232
Sardinella lemuru,1233
Sardinella gibbosa,1234
Opisthonema libertate,1235
Herklotsichthys dispilonotus,1236
Cetengraulis edentulus,1237
Gonialosa manmina,1238
Sprattus novaehollandiae,1239
Chirocentrodon bleekerianus,1240
Dussumieria albulina,1241
Pellona ditchela,1242
Neoopisthopterus tropicus,1243
Sauvagella madagascariensis,1245
Ilisha amazonica,1246
Potamalosa richmondia,1247
Pliosteostoma lutipinnis,1248
Spratellomorpha bianalis,1249
Sierrathrissa leonensis,1250
Sardinops sagax,1252
Thryssa baelama,1253
Sardinella fijiensis,1254
Dayella malabarica,1255
Thrattidion noctivagus,1256
Laeviscutella dekimpei,1257
Nannothrissa parva,1258
Ramnogaster arcuata,1259
Platanichthys platana,1260
Congothrissa gossei,1261
Papuengraulis micropinna,1262
Denticeps clupeoides,1263
Sprattus fuegensis,1264
Harengula jaguana,1265
Etrumeus acuminatus,1266
Denticeps clupeoides,1267
Alosa caspia,1268
Ethmalosa fimbriata,1269
Hilsa kelee,1270
Nematalosa nasus,1271
Gonialosa modesta,1272
Ethmidium maculatum,1273
Thryssa setirostris,1274
Poecilothrissa congica,1275
Potamothrissa obtusirostris,1276
Odaxothrissa mento,1277
Stolothrissa tanganicae,1278
Limnothrissa miodon,1279
Sprattus sprattus,1280
Sardina pilchardus,1281
Alosa fallax,1282
Sardinella albella,1283
Hyperlophus translucidus,1284
Amazonsprattus scintilla,1285
Amblygaster sirm,1286
Hilsa kelee,1287
Chanos chanos,1288
Chanos chanos,1289
Chanos chanos,1290
Chanos chanos,1291
Chanos chanos,1292
Chanos chanos,1293
Chanos chanos,1294
Cromeria occidentalis,1295
Kneria katangae,1296
Kneria maydelli,1297
Kneria paucisquamata,1298
Kneria polli,1299
Kneria sjolandersi,1300
Parakneria spekii,1301
Kneria stappersii,1302
Parakneria spekii,1303
Kneria wittei,1304
Parakneria cameronensis,1305
Parakneria fortuita,1306
Parakneria kissi,1307
Parakneria ladigesi,1308
Parakneria lufirae,1309
Parakneria malaissei,1310
Parakneria marmorata,1311
Parakneria mossambica,1312
Parakneria thysi,1313
Parakneria vilhenae,1314
Phractolaemus ansorgii,1315
Phractolaemus ansorgii,1316
Phractolaemus ansorgii,1317
Gonorynchus gonorynchus,1319
Chanos chanos,1320
Chanos chanos,1321
Tariqilabeo latius,1322
Kneria angolensis,1323
Gonorynchus greyi,1324
Cromeria nilotica,1325
Kneria auriculata,1326
Kneria ansorgii,1327
Parakneria damasi,1328
Grasseichthys gabonensis,1329
Abramis brama,1330
Ballerus sapa,1331
Acanthobrama centisquama,1333
Acanthobrama lissneri,1334
Acanthobrama marmid,1335
Vimba mirabilis,1336
Pseudobrama simoni,1337
Mirogrex terraesanctae,1338
Acheilognathus asmussii,1339
Acheilognathus macropterus,1340
Acheilognathus macropterus,1341
Acheilognathus cyanostigma,1342
Acheilognathus longipinnis,1343
Acheilognathus melanogaster,1344
Acheilognathus tabira,1345
Alburnus taeniatus,1349
Cabdio morar,1351
Leuciscus aspius,1352
Leuciscus aspius,1353
Barboides gracilis,1356
Barbopsis devecchii,1357
Barbopsis devecchii,1358
Enteromius aboinensis,1359
Labeobarbus acuticeps,1360
