CAS_SPC,fullcurrname,synom
14031,Phalloptychus januarius,
14033,Atherinella lisa,
14034,Glossolepis incisa,
14035,Platybelone platyura,
14037,Alfaro cultratus,
14038,Tomeurus gracilis,
14039,Lamprichthys tanganicanus,
14040,Oryzias sarasinorum,
14042,Craterocephalus fluviatilis,
14043,Priapichthys annectens,
14044,Pseudopoecilia festae,
14045,Priapella bonita,
14046,Brachyrhaphis rhabdophora,
14047,Poeciliopsis infans,
14048,Poecilia scalpridens,
14049,Poecilia minor,
14050,Phallostethus dunckeri,
14051,Austrofundulus transilis,
14052,Poeciliopsis elongata,
14057,Aphaniops dispar,
14058,Anatolichthys splendens,
14059,Melanotaenia rubrostriata,
14060,Poecilia caucana,
14061,Carlhubbsia kidderi,
14062,Priapichthys nigroventralis,
14063,Neoheterandria tridentiger,
14065,Allodontichthys zonistius,
14066,Craterocephalus mugiloides,
14067,Alepidomus evermanni,
14069,Nothobranchius guentheri,
14070,Membras analis,
14071,Gulaphallus falcifer,
14073,Ilyodon whitei,
14075,Odontesthes mauleanum,
14076,Neostethus bicornis,
14077,Chirostoma bartoni,
14078,Melanotaenia fredericki,
14079,Cubanichthys pengelleyi,
14080,Atherinella starksi,
14081,Crenichthys nevadae,
14082,Neostethus ctenophorus,
14083,Cubanichthys cubensis,
14084,Poecilia elegans,
14085,Lacustricola bukobanus,
14087,Tylosurus melanotus,
14088,Priapichthys darienensis,
14089,Girardinus denticulatus,
14090,Atherinella nesiotes,
14091,Fundulosoma thierryi,
14093,Floridichthys carpio,
14094,Garmanella pulchra,
14095,Gulaphallus eximius,
14096,Gambusia regani,
14097,Oryzias setnai,
14098,Membras gilberti,
14101,Girardinichthys turneri,
14102,Hypoatherina uisila,
14103,Hypsopanchax platysternus,
14104,Hyporhamphus brederi,
14106,Heterophallus echeagarayi,
14108,Leptolebias marmoratus,
14109,Leptolucania ommata,
14110,Girardinichthys multiradiatus,
14113,Melanorhinus boekei,
14114,Melapedalion breve,
14115,Menidia colei,
14116,Poecilia parae,
14117,Melanorhinus cyanellus,
14119,Rhynchorhamphus georgii,
14120,Rheocles pellegrini,
14122,Nomorhamphus bakeri,
14123,Rachovia brevis,
14124,Cualac tessellatus,
14125,Notocheirus hubbsi,
14127,Neofundulus paraguayensis,
14128,Atherinella nepenthe,
14131,Chirostoma sphyraena,
14132,Platypanchax modestus,
14134,Phenacostethus smithi,
14135,Phallotorynus fasciolatus,
14138,Paratherina wolterecki,
14139,Poecilia hollandi,
14142,Pachypanchax playfairii,
14145,Prognichthys gibbifrons,
14146,Profundulus punctatus,
14149,Fluviphylax pygmaeus,
14150,Poeciliopsis lutzi,
14151,Poeciliopsis presidionis,
14152,Poblana alchichica,
14153,Neostethus palawanensis,
14155,Craterocephalus stramineus,
14156,Quintana atrizona,
14157,Strongylura krefftii,
14158,Hypoatherina temminckii,
14159,Neostethus thessa,
14160,Gambusia holbrooki,
14161,Odontesthes retropinnis,
14162,Odontesthes platensis,
14163,Trigonectes strigabundus,
14165,Atherinomorus insularum,
14168,Cynodonichthys leucurus,
14170,Xenotaenia resolanae,
14171,Xenophallus umbratilis,
14172,Atherinella brasiliensis,
14173,Xenodexia ctenolepis,
14174,Cololabis adoceta,
14175,Scomberesox simulans,
14176,Foerschichthys flavipinnis,
14177,Laciris pelagica,
14178,Terranatos dolichopterus,
14179,Aphyosemion georgiae,
14180,Fundulopanchax gularis,
14181,Aphyosemion cameronense,
14182,Fundulopanchax arnoldi,
14183,Raddaella batesii,
14184,Cairnsichthys rhombosomoides,
14185,Pseudomugil furcatus,
14186,Megupsilon aporus,
14187,Campellolebias brucei,
14188,Iriatherina werneri,
14189,Congopanchax myersi,
14190,Ameca splendens,
14191,Hylopanchax silvestris,
14192,Teramulus kieneri,
14193,Belonion apodion,
14194,Callopanchax occidentalis,
14195,Scolichthys greenwayi,
14196,Gambusia vittata,
14197,Gambusia lemaitrei,
14198,Cheilopogon papilio,
14199,Procatopus aberrans,
14200,Procatopus nototaenia,
14201,Alloophorus robustus,
14202,Allotoca dugesii,
14203,Ataeniobius toweri,
14204,Neotoca bilineata,
14205,Skiffia multipunctata,
14206,Xenoophorus captivus,
14207,Xenotoca variata,
14208,Simpsonichthys boitonei,
14209,Allotoca diazi,
14210,Adrianichthys kruyti,
14212,Rhadinocentrus ornatus,
14213,Chilatherina fasciata,
14214,Heterophallus rachovii,
14217,Fundulus similis,
14218,Oxyzygonectes dovii,
14219,Priapichthys chocoensis,
14220,Neoheterandria elegans,
14221,Neostethus lankesteri,
14222,Colpichthys regis,
14224,Atherinella pachylepis,
14225,Rheocles sikorae,
14226,Atherinella sallei,
14227,Epiplatys duboisi,
14228,Aphyosemion castaneum,
14230,Epiplatys sexfasciatus,
14231,Lacustricola pumilus,
14233,Gulaphallus bikolanus,
14234,Fundulopanchax gardneri,
14235,Fundulus kansae,
14237,Epiplatys annulatus,
14238,Priapichthys panamensis,
14239,Hirundichthys rondeletii,
14240,Hemiramphus brasiliensis,
14241,Cheilopogon exsiliens,
14242,Cypselurus callopterus,
14243,Neostethus borneensis,
14244,Odontesthes hatcheri,
14245,Dentatherina merceri,
14246,Atherinella sardina,
14247,Epiplatys grahami,
14248,Odontesthes incisa,
14249,Pronothobranchius kiyawensis,
14250,Nothobranchius rubroreticulatus,
14252,Lampris lauta,
14254,Metavelifer multiradiatus,
14255,Lophotus capellei,
14259,Desmodema lorum,
14260,Trachipterus altivelis,
14263,Trachipterus fukuzakii,
14264,Trachipterus ishikawae,
14295,Agrostichthys parkeri,
14297,Eumecichthys fiski,
14299,Trachipterus trachypterus,
14300,Regalecus glesne,
14301,Lampris guttatus,
14312,Velifer hypselopterus,
14313,Radiicephalus elongatus,
14314,Desmodema polystictum,
14315,Zu cristatus,
14316,Lophotus lacepede,
14318,Ijimaia loppei,
14319,Parataeniophorus brevis,
14321,Monocentris reedi,
14324,Hoplostethus atlanticus,
14325,Optivus elongatus,
14328,Hoplostethus japonicus,
14330,Hoplostethus melanopterus,
14332,Hoplostethus occidentalis,
14333,Aulotrachichthys prosthemius,
14334,Paratrachichthys fernandezianus,
14335,Diretmoides pauciradiatus,
14341,Beryx mollis,
14342,Beryx splendens,
14343,Centroberyx gerrardi,
14345,Sargocentron bullisi,
14346,Sargocentron caudimaculatum,
14347,Sargocentron cornutum,
14348,Sargocentron coruscum,
14349,Sargocentron ensifer,
14350,Sargocentron hastatum,
14352,Sargocentron microstoma,
14353,Sargocentron poco,
14354,Holocentrus rufus,
14355,Sargocentron spiniferum,
14356,Sargocentron tiereoides,
14357,Neoniphon vexillarium,
14359,Myripristis adusta,
14361,Myripristis berndti,
14362,Myripristis chryseres,
14363,Myripristis hexagona,
14370,Myripristis kuntee,
14373,Myripristis leiognathus,
14375,Myripristis murdjan,
14378,Myripristis seychellensis,
14379,Myripristis pralinia,
14383,Myripristis randalli,
14384,Myripristis tiki,
14385,Myripristis violacea,
14388,Myripristis woodsi,
14391,Neoniphon aurolineatus,
14394,Neoniphon marianus,
14395,Neoniphon opercularis,
14396,Neoniphon sammara,
14405,Ostichthys trachypoma,
14406,Plectrypops lima,
14409,Sargocentron diadema,
14412,Sargocentron ittodai,
14413,Sargocentron melanospilos,
14414,Sargocentron praslin,
14418,Sargocentron seychellense,
14420,Sargocentron spinosissimum,
14421,Sargocentron tiere,
14424,Sargocentron violaceum,
14425,Polymixia berndti,
14426,Polymixia japonica,
14427,Polymixia lowei,
14432,Melamphaes eulepis,
14433,Melamphaes lugubris,
14434,Melamphaes microps,
14435,Melamphaes polylepis,
14436,Melamphaes simus,
14439,Poromitra crassiceps,
14440,Poromitra cristiceps,
14441,Poromitra frontosa,
14442,Poromitra nigrofulva,
14444,Poromitra rugosa,
14445,Poromitra megalops,
14447,Poromitra oscitans,
14448,Poromitra unicornis,
14449,Scopeloberyx opisthopterus,
14450,Scopeloberyx robustus,
14452,Scopeloberyx rubriventer,
14453,Scopelogadus beanii,
14457,Gibberichthys latifrons,
14458,Rondeletia loricata,
14459,Cetomimus compunctus,
14460,Cetomimus hempeli,
14461,Gyrinomimus grahami,
14462,Holocentrus adscensionis,
14464,Stylephorus chordatus,
14465,Trachichthys australis,
14468,Beryx decadactylus,
14469,Myripristis jacobus,
14470,Hoplostethus mediterraneus,
14473,Polymixia nobilis,
14475,Corniger spinosus,
14476,Melamphaes typhlops,
14478,Ateleopus japonicus,
14479,Anomalops katoptron,
14480,Anoplogaster cornuta,
14481,Centroberyx lineatus,
14482,Plectrypops retrospinis,
14485,Diretmus argenteus,
14486,Myripristis amaena,
14489,Poromitra capito,
14490,Cleidopus gloriamaris,
14491,Stephanoberyx monae,
14493,Melamphaes suborbitalis,
14495,Acanthochaenus luetkenii,
14497,Malacosarcus macrostoma,
14500,Rondeletia bicolor,
14501,Cetomimus gillii,
14502,Ostichthys japonicus,
14503,Paratrachichthys trailli,
14504,Gephyroberyx darwinii,
14505,Photoblepharon palpebratum,
14506,Centroberyx spinosus,
14507,Ijimaia dofleini,
14509,Sargocentron suborbitale,
14511,Poromitra nigriceps,
14512,Parateleopus microstomus,
14513,Hoplostethus melanopus,
14514,Aulotrachichthys latus,
14515,Hoplostethus metallicus,
14518,Barbourisia rufa,
14520,Ditropichthys storeri,
14521,Sargocentron punctatissimum,
14522,Gibberichthys pumilus,
14523,Gyrinomimus myersi,
14525,Kryptophanaron alfredi,
14529,Mirapinna esau,
14530,Cetomimus picklei,
14533,Cetomimus kerdops,
14534,Sorosichthys ananassa,
14535,Eutaeniophorus festivus,
14536,Vitiaziella cubiceps,
14537,Hispidoberyx ambagiosus,
14538,Pristilepis oligolepis,
14539,Myripristis trachyacron,
14541,Ataxolepis apus,
14542,Megalomycter teevani,
14543,Guentherus altivela,
14544,Sio nordenskjoldii,
14546,Cetostoma regani,
14549,Parinoberyx horridus,
14552,Cyttus novaezealandiae,
14553,Cyttopsis rosea,
14554,Zenopsis conchifer,
14558,Allocyttus folletti,
14559,Neocyttus helgae,
14566,Antigonia combatia,
14568,Antigonia rubescens,
14569,Neocyttus rhomboidalis,
14570,Zeus faber,
14571,Capros aper,
14572,Oreosoma atlanticum,
14574,Antigonia capros,
14575,Zenopsis nebulosa,
14576,Grammicolepis brachiusculus,
14577,Cyttus traversi,
14578,Capromimus abbreviatus,
14579,Zenion hololepis,
14582,Pseudocyttus maculatus,
14587,Cyttomimus stelgis,
14589,Macrurocyttus acanthopodus,
14590,Parazen pacificus,
14592,Stethopristes eos,
14593,Xenolepidichthys dalgleishi,
14597,Cyttus australis,
14634,Gasterosteus islandicus,
14638,Gasterosteus crenobiontus,
14641,Gasterosteus wheatlandi,
14643,Pungitius laevis,
14658,Pungitius tymensis,
14660,Pungitius sinensis,
14662,Pungitius bussei,
14666,Pungitius kaibarae,
14668,Gasterosteus aculeatus,
14669,Spinachia spinachia,
14671,Apeltes quadracus,
14673,Aulorhynchus flavidus,
14674,Aulichthys japonicus,
14676,Pungitius pungitius,
14677,Culaea inconstans,
14678,Hypoptychus dybowskii,
14682,Indostomus paradoxus,
14683,Pegasus volitans,
14685,Agonus cataphractus,
14686,Eurypegasus draconis,
14689,Pegasus lancifer,
14690,Pegasus laternarius,
14691,Aulostomus strigosus,
14692,Fistularia commersonii,
14693,Fistularia petimba,
14698,Notopogon xenosoma,
14701,Hippichthys spicifer,
14703,Campichthys galei,
14704,Campichthys nanus,
14705,Campichthys tricarinatus,
14706,Campichthys tryoni,
14707,Choeroichthys brachysoma,
14708,Choeroichthys sculptus,
14710,Microphis platyrhynchus,
14711,Corythoichthys amplexus,
14712,Corythoichthys flavofasciatus,
14713,Corythoichthys waitei,
14715,Microphis spinachioides,
14716,Doryrhamphus japonicus,
14717,Doryrhamphus melanopleura,
14718,Doryrhamphus negrosensis,
14719,Dunckerocampus multiannulatus,
14721,Halicampus dunckeri,
14722,Halicampus macrorhynchus,
14725,Leptonotus blainvilleanus,
14729,Leptonotus elevatus,
14730,Lissocampus bannwarthi,
14731,Lissocampus fatiloquus,
14732,Lissocampus filum,
14734,Maroubra yasudai,
14735,Micrognathus andersonii,
14736,Halicampus boothae,
14738,Micrognathus brevirostris,
14740,Halicampus crinitus,
14743,Minyichthys myersi,
14745,Nerophis lumbriciformis,
14754,Pseudophallus mindii,
14756,Syngnathus abaster,
14763,Syngnathus caspius,
14769,Syngnathus auliscus,
14770,Cosmocampus banneri,
14771,Syngnathus californiensis,
14773,Cosmocampus darrosanus,
14774,Cosmocampus elucens,
14776,Syngnathus floridae,
14777,Syngnathus fuscus,
14778,Cosmocampus hildebrandi,
14779,Cosmocampus howensis,
14780,Syngnathus leptorhynchus,
14782,Syngnathus louisianae,
14784,Syngnathus rostellatus,
14786,Syngnathus schmidti,
14787,Syngnathus schlegeli,
14788,Syngnathus scovelli,
14789,Syngnathus springeri,
14790,Syngnathus taenionotus,
14791,Syngnathus tenuirostris,
14797,Syngnathus variegatus,
14799,Trachyrhamphus bicoarctatus,
14803,Hippocampus coronatus,
14804,Hippocampus erectus,
14809,Hippocampus histrix,
14810,Hippocampus ingens,
14812,Hippocampus kuda,
14813,Hippocampus planifrons,
14817,Hippocampus guttulatus,
14820,Hippocampus reidi,
14821,Hippocampus sindonis,
14823,Hippocampus zosterae,
14824,Hippocampus abdominalis,
14825,Solegnathus dunckeri,
14826,Solegnathus robustus,
14829,Urocampus carinirostris,
14831,Haliichthys taeniophorus,
14833,Fistularia tabacaria,
14834,Centriscus scutatus,
14835,Syngnathus acus,
14836,Aulostomus chinensis,
14837,Solenostomus paradoxus,
14838,Hippocampus hippocampus,
14840,Entelurus aequoreus,
14842,Solegnathus hardwickii,
14847,Syngnathus pelagicus,
14849,Nerophis ophidion,
14851,Hippichthys heptagonus,
14854,Ichthyocampus carce,
14856,Trachyrhamphus serratus,
14857,Halicampus grayi,
14858,Syngnathoides biaculeatus,
14859,Microphis deocata,
14860,Choeroichthys valencienni,
14861,Stigmatopora argus,
14862,Doryrhamphus excisus,
14864,Coelonotus argulus,
14865,Coelonotus leiaspis,
14868,Centriscops humerosus,
14872,Nannocampus subosseus,
14873,Urocampus nanus,
14877,Penetopteryx taeniocephalus,
14878,Phycodurus eques,
14880,Aeoliscus strigatus,
14883,Apterygocampus epinnulatus,
14884,Anarchopterus criniger,
14886,Bryx veleronis,
14889,Solegnathus spinosissimus,
14890,Dunckerocampus dactyliophorus,
14892,Festucalex cinctus,
14893,Hippocampus breviceps,
14894,Hippocampus spinosissimus,
14895,Hypselognathus rostratus,
14896,Idiotropiscis australis,
14898,Kaupus costatus,
14899,Bulbonaricus davaoensis,
14900,Lissocampus runa,
14901,Lissocampus caudalis,
14902,Maroubra perserrata,
14903,Mitotichthys tuckeri,
14904,Leptonotus norae,
14905,Stigmatopora nigra,
14908,Microphis lineatus,
14913,Pugnaso curtirostris,
14914,Pseudophallus starksii,
14916,Stipecampus cristatus,
14917,Siokunichthys herrei,
14918,Vanacampus vercoi,
14919,Enneacampus ansorgii,
14920,Cosmocampus albirostris,
14921,Notiocampus ruber,
14922,Nannocampus pictus,
14923,Phoxocampus belcheri,
14924,Cosmocampus arctus,
14925,Kimblaeus bassensis,
14926,Doryrhamphus janssi,
14927,Minyichthys brachyrhinus,
14928,Heraldia nocturna,
14929,Bryx dunckeri,
14930,Histiogamphelus briggsii,
14931,Notopogon armatus,
14932,Macroramphosus scolopax,
14933,Doryichthys boaja,
14934,Microphis brachyurus,
14935,Microphis retzii,
14937,Doryichthys heterosoma,
14938,Aphyosemion citrineipinnis,
14939,Aphyosemion coeleste,
14940,Aphyosemion exigoideum,
14943,Aphyosemion joergenscheeli,
14944,Aphyosemion lambertorum,
14945,Aphyosemion maculatum,
14946,Aphyosemion mimbon,
14947,Aphyosemion ocellatum,
14948,Aphyosemion primigenium,
14949,Aphyosemion punctatum,
14950,Aphyosemion rectogoense,
14951,Corythoichthys insularis,
14952,Corythoichthys paxtoni,
14953,Corythoichthys polynotatus,
14954,Festucalex gibbsi,
14955,Festucalex wassi,
14956,Scorpaenodes steenei,
14957,Rhinopias eschmeyeri,
14958,Lepidotrigla bentuviai,
14959,Ambophthalmos angustus,
14960,Ambophthalmos magnicirrus,
14961,Rhynchorhamphus malabaricus,
14962,Rhynchorhamphus naga,
14963,Aphyosemion abacinum,
14964,Fundulopanchax spoorenbergi,
14965,Aphyosemion wildekampi,
14967,Cyprinodon alvarezi,
14968,Cyprinodon macrolepis,
14969,Cyprinodon meeki,
14970,Cyprinodon nazas,
14972,Epiplatys etzeli,
14975,Phthanophaneron harveyi,
14976,Choeroichthys cinctus,
14977,Choeroichthys smithi,
14979,Ophisternon aenigmaticum,
14980,Maxillicosta lopholepis,
14981,Maxillicosta raoulensis,
14982,Maxillicosta whitleyi,
14983,Genioliparis lindbergi,
14984,Liparis coheni,
14985,Liparis kussakini,
14986,Poecilia catemaconis,
14987,Poecilia chica,
14988,Poeciliopsis catemaco,
14989,Poeciliopsis turneri,
14990,Scorpaena pele,
14991,Scorpaenopsis brevifrons,
14992,Scorpaenodes steinitzi,
14995,Sebastes peduncularis,
14996,Sebastes spinorbis,
14997,Sebastes varispinis,
14998,Ocosia apia,
14999,Ocosia ramaraoi,
15000,Ocosia zaspilota,
15001,Notoliparis kurchatovi,
15002,Potamorrhaphis petersi,
15003,Strongylura hubbsi,
15004,Paraphanius striptus,
15005,Fundulopanchax rubrolabialis,
15006,Austrolebias nonoiuliensis,
15008,Craterocephalus dalhousiensis,
15009,Hoplostethus cadenati,
15010,Pungitius hellenicus,
15011,Micrognathus erugatus,
15012,Pseudophallus brasiliensis,
15013,Aphyosemion franzwerneri,
15014,Llanolebias stellifer,
15015,Scriptaphyosemion brueningi,
15016,Chirostoma aculeatum,
15017,Melamphaes ebelingi,
15018,Photoblepharon steinitzi,
15020,Rhinopias aphanes,
15021,Rhinopias argoliba,
15022,Synanceia alula,
15023,Synanceia nana,
15024,Cymbacephalus beauforti,
15025,Liparis catharus,
15026,Liparis inquilinus,
15027,Nomorhamphus philippinus,
15028,Nomorhamphus towoetii,
15029,Rhynchorhamphus arabicus,
15030,Epiplatys barmoiensis,
15031,Epiplatys esekanus,
15032,Atherinella alvarezi,
15033,Phenacostethus posthon,
15034,Dunckerocampus baldwini,
15035,Festucalex amakusensis,
15036,Cosmocampus caldwelli,
15038,Synbranchus madeirae,
15039,Helicolenus avius,
15040,Scorpaenodes investigatoris,
15042,Scorpaenodes smithi,
15043,Sebastes minor,
15044,Sebastes rufinanus,
15045,Ectreposebastes niger,
15046,Scorpaena ascensionis,
15047,Scorpaena orgila,
15048,Scorpaena pascuensis,
15049,Scorpaenodes englerti,
15050,Scorpaenodes insularis,
15051,Sebastes ensifer,
15052,Sebastes exsul,
15053,Sebastes lentiginosus,
15054,Sebastes notius,
15055,Sebastes rosenblatti,
15056,Sebastes simulator,
15057,Sebastes variegatus,
15059,Congopanchax brichardi,
15060,Xenurolebias myersi,
15062,Cheilopogon milleri,
15064,Gambusia aurata,
15066,Sebastes borealis,
15074,Xiphophorus signum,
15076,Syngnathus dawsoni,
15077,Pontinus leda,
15078,Scorpaena annobonae,
15079,Scorpaena azorica,
15080,Scorpaenodes tribulosus,
15081,Antipodocottus megalops,
15082,Acantholiparis caecus,
15083,Tomicodon prodomus,
15084,Brachypetersius gabonensis,
15085,Aphyosemion cyanostictum,
15087,Aphyosemion microphtalmum,
15088,Micropanchax mediolateralis,
15089,Micropanchax nigrolateralis,
15090,Cyprinodon atrorus,
15091,Cyprinodon bifasciatus,
15092,Erisphex aniarus,
15093,Lepidotrigla carolae,
15095,Cottunculus granulosus,
15096,Liparis fishelsoni,
15097,Paraliparis calidus,
15098,Brachyrhaphis holdridgei,
15099,Poeciliopsis paucimaculata,
15100,Scolichthys iota,
15101,Plataplochilus mimus,
15102,Plataplochilus pulcher,
15103,Alburnus akili,
15110,Alburnus filippii,
15111,Alburnus heckeli,
15112,Alburnus kotschyi,
15113,Alburnus orontis,
15115,Romanogobio albipinnatus,
15116,Romanogobio ciscaucasicus,
15117,Gobio lepidolaemus,
15118,Gobio ohridanus,
15119,Gobio hettitorum,
15120,Romanogobio macropterus,
15124,Cookeolus japonicus,
15125,Priacanthus arenatus,
15126,Heteropriacanthus fulgens,
15128,Heteropriacanthus cruentatus,
15132,Priacanthus macracanthus,
15133,Priacanthus tayenus,
15134,Pristigenys serrula,
15135,Paroncheilus affinis,
15136,Fibramia amboinensis,
15137,Nectamia annularis,
15139,Apogon atradorsatus,
15140,Ostorhinchus aureus,
15141,Apogon aurolineatus,
15142,Nectamia bandanensis,
15145,Jaydia carinata,
15146,Apogon ceramensis,
15147,Apogonichthyoides chrysurus,
15148,Apogon coccineus,
15149,Ostorhinchus compressus,
15150,Ostorhinchus cookii,
15151,Apogon crassiceps,
15152,Ostorhinchus cyanosoma,
15153,Ostorhinchus doederleini,
15154,Apogon doryssa,
15155,Jaydia ellioti,
15156,Ostorhinchus endekataenia,
15157,Apogon erythrinus,
15158,Pristiapogon exostigma,
15159,Zoramia fragilis,
15160,Taeniamia fucata,
15161,Zoramia gilberti,
15162,Apogon guadalupensis,
15163,Yarica hyalosoma,
15164,Apogon imberbis,
15167,Ostorhinchus ishigakiensis,
15168,Pristiapogon kallopterus,
15171,Ostorhinchus kiensis,
15172,Zoramia leptacanthus,
15174,Apogonichthyoides melas,
15175,Pristiapogon menesemus,
15176,Lepidamia multitaeniata,
15178,Apogonichthyoides niger,
15179,Apogonichthyoides nigripinnis,
15181,Ostorhinchus norfolcensis,
15182,Ostorhinchus notatus,
15183,Ostorhinchus novemfasciatus,
15186,Sphaeramia orbicularis,
15188,Apogon phenax,
15189,Apogon pillionatus,
15190,Apogon planifrons,
15191,Apogon pseudomaculatus,
15192,Ostorhinchus quadrifasciatus,
15193,Apogon quadrisquamatus,
15194,Pristicon rhodopterus,
15196,Nectamia savayensis,
15198,Ostorhinchus semilineatus,
15199,Apogon semiornatus,
15200,Apogonichthyoides taeniatus,
15201,Pristiapogon taeniopterus,
15203,Apogon townsendi,
15204,Apogon unicolor,
15205,Apogonichthyoides uninotatus,
15206,Fowleria variegata,
15208,Apogonichthys ocellatus,
15209,Jaydia poeciloptera,
15210,Apogonichthys waikiki,
15211,Taeniamia biguttata,
15213,Taeniamia dispilus,
15215,Taeniamia lineolata,
15216,Taeniamia zosterophora,
15217,Astrapogon alutus,
15218,Astrapogon puncticulatus,
15219,Plectorhinchus lineatus,
15221,Cheilodipterus quinquelineatus,
15222,Cheilodipterus subulatus,
15224,Fowleria isostigma,
15225,Fowleria marmorata,
15227,Glossamia wichmanni,
15229,Ostorhinchus hartzfeldii,
15231,Gymnapogon urospilotus,
15233,Microichthys sanzoi,
15235,Phaeoptyx pigmentaria,
15237,Fowleria amblyuroptera,
15239,Rhabdamia gracilis,
15240,Epigonus lenimen,
15242,Siphamia versicolor,
15244,Epigonus denticulatus,
15246,Epigonus occidentalis,
15247,Epigonus pectinifer,
15251,Sillaginopodys chondropus,
15252,Sillago ciliata,
15253,Sillago japonica,
15254,Sillaginops macrolepis,
15255,Sillago maculata,
15256,Sillago parvisquamis,
15257,Sillago sihama,
15258,Caulolatilus affinis,
15260,Caulolatilus cyanops,
15261,Caulolatilus guppyi,
15262,Caulolatilus microps,
15263,Caulolatilus princeps,
15264,Caulolatilus williamsi,
15265,Hoplolatilus cuniculus,
15266,Hoplolatilus fourmanoiri,
15267,Hoplolatilus starcki,
15268,Malacanthus brevirostris,
15271,Malacanthus latovittatus,
15275,Branchiostegus auratus,
15278,Branchiostegus doliatus,
15279,Branchiostegus ilocanus,
15283,Branchiostegus sawakinensis,
15284,Branchiostegus semifasciatus,
15285,Branchiostegus serratus,
15289,Branchiostegus vittatus,
15290,Branchiostegus wardi,
15291,Scombrops boops,
15293,Scombrops oculatus,
15296,Labracoglossa nitida,
15301,Rachycentron canadum,
15318,Echeneis neucratoides,
15327,Remora australis,
15346,Alectis ciliaris,
15347,Alectis indica,
15357,Carangoides chrysophrys,
15359,Carangoides ferdau,
15360,Carangoides fulvoguttatus,
15362,Carangoides gymnostethus,
15363,Carangoides hedlandensis,
15367,Carangoides oblongus,
15369,Caranx sexfasciatus,
15371,Caranx bartholomaei,
15372,Caranx bucculentus,
15373,Caranx caballus,
15374,Caranx caninus,
15375,Caranx crysos,
15378,Pseudocaranx dentex,
15384,Pseudocaranx cheilio,
15385,Caranx hippos,
15389,Caranx latus,
15390,Caranx lugubris,
15395,Caranx melampygus,
15396,Caranx papuensis,
15397,Caranx rhonchus,
15399,Caranx ruber,
15401,Caranx tille,
15403,Campogramma glaycos,
15405,Chloroscombrus chrysurus,
15406,Chloroscombrus orqueta,
15408,Scomberoides tala,
15411,Decapterus koheru,
15412,Decapterus kurroides,
15413,Decapterus macarellus,
15414,Decapterus macrosoma,
15415,Decapterus muroadsi,
15422,Decapterus tabl,
15426,Megalaspis cordyla,
15428,Naucrates ductor,
15429,Iniistius pentadactylus,
15433,Seriola hippos,
15437,Scomberoides tol,
15439,Selar crumenophthalmus,
15440,Alepes djedaba,
15443,Selene setapinnis,
15447,Seriola dorsalis,
15451,Seriola quinqueradiata,
15452,Seriola rivoliana,
15456,Seriola lalandi,
15459,Trachinotus carolinus,
15461,Trachinotus goodei,
15462,Trachinotus ovatus,
15463,Trachinotus paitensis,
15464,Trachinotus rhodopus,
15467,Trachurus declivis,
15470,Trachurus japonicus,
15471,Trachurus lathami,
15472,Trachurus mediterraneus,
15473,Trachurus novaezelandiae,
15481,Trachurus longimanus,
15482,Trachurus symmetricus,
15483,Trachurus murphyi,
15490,Trachurus trecae,
15492,Uraspis uraspis,
15496,Selene dorsalis,
15497,Coryphaena equiselis,
15507,Gazza achlamys,
15510,Photopectoralis bindus,
15514,Equulites elongatus,
15516,Equulites klunzingeri,
15519,Nuchequula nuchalis,
15520,Eubleekeria rapsoni,
15521,Photolateralis stercorarius,
15522,Leiognathus ruconius,
15533,Paracaristius maderensis,
15534,Platyberyx opalescens,
15539,Emmelichthys cyanescens,
15540,Emmelichthys struhsakeri,
15541,Erythrocles monodi,
15544,Apsilus dentatus,
15545,Etelis coruscans,
15548,Lutjanus analis,
15549,Lutjanus apodus,
15550,Lutjanus argentimaculatus,
15551,Lutjanus argentiventris,
15553,Lutjanus bohar,
15554,Lutjanus buccanella,
15557,Lutjanus campechanus,
15560,Lutjanus colorado,
15561,Lutjanus cyanopterus,
15563,Lutjanus ehrenbergii,
15564,Lutjanus erythropterus,
15565,Lutjanus fulviflamma,
15568,Lutjanus griseus,
15571,Lutjanus jocu,
15573,Lutjanus kasmira,
15575,Lutjanus lunulatus,
15576,Lutjanus mahogoni,
15577,Lutjanus malabaricus,
15579,Lutjanus monostigma,
15581,Lutjanus novemfasciatus,
15586,Lutjanus sebae,
15587,Lutjanus semicinctus,
15589,Lutjanus synagris,
15591,Lutjanus vitta,
15593,Paracaesio caerulea,
15594,Paracaesio kusakarii,
15595,Paracaesio sordida,
15596,Pristipomoides aquilonaris,
15597,Pristipomoides auricilla,
15598,Pristipomoides filamentosus,
15599,Pristipomoides flavipinnis,
15602,Pristipomoides multidens,
15603,Pristipomoides sieboldii,
15605,Aphareus rutilans,
15606,Pterocaesio chrysozona,
15607,Caesio cuning,
15608,Pterocaesio digramma,
15610,Caesio lunaris,
15611,Pterocaesio pisang,
15612,Caesio striata,
15614,Pterocaesio tile,
15615,Caesio xanthonota,
15616,Datnioides campbelli,
15625,Eugerres axillaris,
15626,Eugerres brevimanus,
15628,Eugerres lineatus,
15629,Eugerres mexicanus,
15631,Eugerres plumieri,
15632,Diapterus peruvianus,
15633,Diapterus rhombeus,
15634,Eucinostomus gracilis,
15636,Eucinostomus havana,
15637,Eucinostomus harengulus,
15638,Eucinostomus lefroyi,
15639,Eucinostomus melanopterus,
15646,Gerres cinereus,
