CAS_SPC,fullcurrname,synom
1466,Luciobarbus pallaryi,
1468,Luciobarbus massaensis,
1469,Luciobarbus issenensis,
1470,Carasobarbus moulouyensis,
1472,Luciobarbus amguidensis,
1474,Luciobarbus lepineyi,
1475,Enteromius callipterus,
1476,Enteromius camptacanthus,
1478,Enteromius candens,
1479,Carasobarbus canis,
1480,Cheilobarbus capensis,
1481,Labeobarbus seeberi,
1488,Luciobarbus kersin,
1489,Luciobarbus conocephalus,
1490,Labeobarbus cardozoi,
1491,Enteromius carens,
1492,Enteromius catenarius,
1493,Enteromius caudosignatus,
1494,Labeobarbus caudovittatus,
1500,Labeobarbus pojeri,
1502,Carasobarbus chantrei,
1503,Naziritor chelynoides,
1504,Enteromius chicapaensis,
1505,Enteromius chlorotaenia,
1506,Enteromius choloensis,
1507,Barbus ciscaucasicus,
1508,Enteromius citrinus,
1509,Enteromius clauseni,
1512,Enteromius collarti,
1513,Luciobarbus comizo,
1517,Clypeobarbus congicus,
1519,Pethia cumingii,
1520,Barbus cyclolepis,
1522,Labeobarbus dartevellei,
1523,Enteromius deguidei,
1524,Enteromius deserti,
1525,Enteromius dialonensis,
1526,Enteromius ditinensis,
1529,Enteromius dorsolineatus,
1530,Enteromius eburneensis,
1532,Labeobarbus ensis,
1533,Sedercypris erubescens,
1534,Enteromius erythrozonus,
1535,Luciobarbus esocinus,
1537,Labeobarbus ethiopicus,
1540,Barbus euboicus,
1541,Enteromius eutaenia,
1542,Enteromius evansi,
1544,Enteromius fasciolatus,
1546,Labeobarbus fasolt,
1552,Carasobarbus fritschii,
1553,Carasobarbus harterti,
1557,Labeobarbus gananensis,
1558,Pethia gelius,
1559,Labeobarbus girardi,
1562,Luciobarbus graecus,
1563,Enteromius greenwoodi,
1564,Labeobarbus gruveli,
1565,Arabibarbus grypus,
1567,Enteromius guildi,
1568,Enteromius guineensis,
1569,Enteromius guirali,
1570,Labeobarbus gulielmi,
1571,Enteromius gurneyi,
1572,Enteromius haasianus,
1574,Labeobarbus habereri,
1575,Enteromius holotaenia,
1578,Namaquacypris hospes,
1579,Labeobarbus huloti,
1581,Enteromius humeralis,
1584,Labeobarbus humphri,
1585,Clypeobarbus hypsolepis,
1586,Enteromius innocens,
1589,Labeobarbus surkis,
1593,Labeobarbus nedgia,
1626,Labeobarbus gorgorensis,
1633,Labeobarbus acutirostris,
1635,Labeobarbus iturii,
1636,Enteromius jacksoni,
1640,Enteromius jae,
1641,Enteromius janssensi,
1642,Labeobarbus johnstonii,
1644,Labeobarbus latirostris,
1647,Labeobarbus jubbi,
1648,Enteromius kamolondoensis,
1650,Garra kemali,
1651,Enteromius kerstenii,
1660,Enteromius kessleri,
