LineageID,NAME,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_NM,SO_NM,FAM_NM,SF_NM,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
696,Parascorpididae,Smith 1949,jutjaws,jutjaws,Actinopteri,Centrarchiformes,Terapontoidei,Parascorpididae,NULL,NULL,8,62.6,2,334.5,NULL,38:33.0
299,Monodactylidae,Jordan & Evermann 1898,moonies,moonies,Actinopteri,Perciformes *sedis mutabilis*,NULL,Monodactylidae,NULL,NULL,8,63,NULL,335.5,NULL,35:29.0
268,Centrarchidae,Bleeker 1859,sunfishes and freshwater basses,sunfishes/basses;freshwater,Actinopteri,Centrarchiformes,Centrarchoidei,Centrarchidae,NULL,NULL,8,62.6,3,339.1,NULL,53:39.0
496,Elassomatidae,Jordan 1877,pygmy sunfishes,sunfishes;pygmy,Actinopteri,Centrarchiformes,Centrarchoidei,Elassomatidae,NULL,NULL,8,62.6,3,339.2,NULL,27:23.0
309,Enoplosidae,Gill 1893,oldwives,oldwives,Actinopteri,Centrarchiformes,Centrarchoidei,Enoplosidae,NULL,NULL,8,62.6,3,340,NULL,26:31.0
1168,Sinipercidae,Jordan & Richardson 1910,Chinese perches,NULL,Actinopteri,Centrarchiformes,Centrarchoidei,Sinipercidae,NULL,NULL,8,62.6,3,340.5,NULL,23:14.0
929,Polycentridae,Gill 1858,leaffishes,NULL,Actinopteri,Perciformes *sedis mutabilis*,NULL,Polycentridae,NULL,NULL,8,63,NULL,342,NULL,35:32.0
311,Nandidae,Bleeker 1852,Asian leaffishes,leaffishes,Actinopteri,Anabantiformes,Nandoidei,Nandidae,NULL,NULL,8,48.6,3,342.1,NULL,05:30.0
505,Badidae,"Barlow, Liem & Wickler 1968",chameleon fishes,NULL,Actinopteri,Anabantiformes,Nandoidei,Badidae,NULL,NULL,8,48.6,3,342.2,NULL,06:05.0
1062,Pristolepididae,Regan 1913,mudperches,NULL,Actinopteri,Anabantiformes,Nandoidei,Pristolepididae,NULL,NULL,8,48.6,3,342.3,NULL,05:12.0
313,Cichlidae,Bonaparte 1835,cichlids,cichlids,Actinopteri,Cichliformes,NULL,Cichlidae,NULL,NULL,8,51,NULL,344,NULL,07:36.0
973,Etroplinae,Kullander 1998,Indian and Madagascan cichlids,NULL,Actinopteri,Cichliformes,NULL,Cichlidae,Etroplinae,added on Sparks ref. 29766.,8,51,NULL,344,1,14:08.0
1014,Ptychochrominae,Sparks 2004,Malagasy cichlids,NULL,Actinopteri,Cichliformes,NULL,Cichlidae,Ptychochrominae,NULL,8,51,NULL,344,2,14:29.0
1015,Cichlinae,Bonaparte 1835,American cichlids,NULL,Actinopteri,Cichliformes,NULL,Cichlidae,Cichlinae,NULL,8,51,NULL,344,4,13:58.0
1016,Pseudocrenilabrinae,Fowler 1934,African cichlids,NULL,Actinopteri,Cichliformes,NULL,Cichlidae,Pseudocrenilabrinae,NULL,8,51,NULL,344,3,14:18.0
314,Embiotocidae,Agassiz 1853,surfperches,surfperches,Actinopteri,Perciformes,Labroidei,Embiotocidae,NULL,NULL,8,64,2,345,NULL,46:20.0
315,Pomacentridae,Bonaparte 1831,damselfishes and anemonefishes,damselfishes/anemonefishes,Actinopteri,Perciformes,Labroidei,Pomacentridae,NULL,NULL,8,64,2,346,NULL,31:44.0
1344,Glyphisodontinae,Rafinesque 1815,sergeants majors,NULL,Actinopteri,Perciformes,Labroidei,Pomacentridae,Glyphisodontinae,NULL,8,64,2,346,3,35:17.0
1345,Chrominae,Bonaparte 1831,chromises,NULL,Actinopteri,Perciformes,Labroidei,Pomacentridae,Chrominae,NULL,8,64,2,346,2,39:55.0
1346,Microspathodontinae,Jordan & Evermann 1898,giant damselfishes,NULL,Actinopteri,Perciformes,Labroidei,Pomacentridae,Microspathodontinae,NULL,8,64,2,346,1,33:39.0
1347,Pomacentrinae,Bonaparte 1831,anemonefishes or clownfishes,NULL,Actinopteri,Perciformes,Labroidei,Pomacentridae,Pomacentrinae,NULL,8,64,2,346,4,37:59.0
316,Cirrhitidae,Macleay 1841,hawkfishes,hawkfishes,Actinopteri,Centrarchiformes,Cirrhitioidei,Cirrhitidae,NULL,NULL,8,62.6,4,348,NULL,28:09.0
317,Chironemidae,Gill 1862,kelpfishes,kelpfishes,Actinopteri,Centrarchiformes,Cirrhitioidei,Chironemidae,NULL,NULL,8,62.6,4,349,NULL,27:45.0
