NAME,LineageID,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_Parent,ORD_NM,SO_Parent,SO_NM,FAM_Parent,FAM_NM,SF_Parent,SF_NM,Parent_id_fomula,Parent_id,Rank_id,Rank_name,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
Agoniatinae,903,Bleeker 1859,agoniatines,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Triportheidae,1049,Agoniatinae,1049,1049,51,Subfamily,NULL,8,37,2,89.4,7,17:34.0
Clupeacharacinae,904,Fowler 1958,herring characins,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Triportheidae,1049,Clupeacharacinae,1049,1049,51,Subfamily,NULL,8,37,2,89.4,8,17:56.0
Triportheidae,1049,Fowler 1940,hatchet characins,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Triportheidae,NULL,NULL,1304,1304,50,Family,NULL,8,37,2,89.4,NULL,18:34.0
Triportheinae,1050,Fowler 1940,keeled characines,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Triportheidae,1049,Triportheinae,1049,1049,51,Subfamily,NULL,8,37,2,89.4,1,18:37.0
Gasteropelecidae,75,Bleeker 1859,freshwater hatchetfishes,hatchetfishes;freshwater,Actinopteri,699,Characiformes,873,Characoidei,1304,Gasteropelecidae,NULL,NULL,1304,1304,50,Family,NULL,8,37,2,89.6,NULL,18:18.0
Bryconinae,906,Eigenmann 1912,NULL,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Bryconidae,1048,Bryconinae,1048,1048,51,Subfamily,NULL,8,37,2,89.8,10,17:40.0
Salmininae,997,Cockerell 1915,dorados,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Bryconidae,1048,Salmininae,1048,1048,51,Subfamily,NULL,8,37,2,89.8,16,18:26.0
Bryconidae,1048,Eigenmann 1912,bryconids,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Bryconidae,NULL,NULL,1304,1304,50,Family,NULL,8,37,2,89.8,NULL,17:39.0
Iguanodectidae,1052,Eigenmann 1909,iguanodectids,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Iguanodectidae,NULL,NULL,1304,1304,50,Family,NULL,8,37,2,89.9,NULL,18:21.0
Acestrorhynchidae,765,Eigenmann 1912,pike characids,NULL,Actinopteri,699,Characiformes,873,Characoidei,1304,Acestrorhynchidae,NULL,NULL,1304,1304,50,Family,NULL,8,37,2,90,NULL,17:32.0
