JourID,JOUR,JOUR_NAME,FULL_NAME,CALLNUMBER,REMARKS,TimeStamp
56,BDWKM,Berichte der Deutschen Wissenschaftlichen Kommission fÃ¼r Meeresforschung,Berichte der Deutschen Wissenschaftlichen Kommission fuer Meeresforschung,NULL,"Continued as ""Meeresforschung""",39:52.0
58,BD,Bijdragen tot de Dierkunde,NULL,NULL,The Hague. SPB Acad. Publ. 1.1848/54 - 27.1939; 28.1949 -64.1995/95.  ISSN 0067-8546.,51:15.0
60,BSE,Biochemical Systematics and Ecology,NULL,QH 83 .B55,Oxford.  ISSN 0305-1978.,46:30.0
61,BBTU,Biological Bulletin Department of Biology College of Science Tunghai University,Biological Bulletin Department of Biology College of Science Tunghai University,NULL,Taichung.,47:11.0
62,BG,Biologia Gabonica,NULL,NULL,NULL,28:16.0
63,BGH,Biologia Gallo-Hellenica,NULL,NULL,Toulouse.  ISSN 0750-7321.,47:59.0
64,BJLS,Biological Journal of the Linnean Society,NULL,QH1 .L75,"London.  ISSN 0024-4066.  Supersedes ""Proceedings of the Linnean Society of London""",49:03.0
67,BMV,Biologiya Morya (Vladivostok),NULL,NULL,ISSN 0314-3475.  English translation appears in: Russian Journal of Marine Biology.,53:30.0
69,BPUA,Biological Papers of the University of Alaska,NULL,NULL,Fairbanks.  ISSN 0568-8604.,54:11.0
70,BL,Biologia (Lahore),NULL,NULL,ISSN 0006-3096.,54:45.0
73,BOCAG,Bocagiana.  Museu Municipal do Funchal (HistÃ³ria Natural),NULL,QL 252 .M3 B53,Funchal.  ISSN 0523-7904.  Often seen only as Bocagiana or as Bocagiana (Funchal).,11:59.0
74,BANCC,BoletÃ­n de la Academia Nacional de Ciencias (CÃ³rdoba),NULL,Q33 .C79,CÃ³rdoba.  ISSN 0325-2051.,41:30.0
75,BECE,Boletin de la EstaciÃ³n Central de EcologÃ­a,NULL,NULL,Madrid.  ISSN 0210-2536.,06:01.0
