JourID,JOUR,JOUR_NAME,FULL_NAME,CALLNUMBER,REMARKS,TimeStamp
1432,TIO,Trudy Instituta Okeanologii Imeni P.P. Shirshova,Trudy Instituta okeanologii im. P.P. Shirshova,NULL,#NAME?,56:20.0
1433,OPBOC,Occasional Papers of the Bingham Oceanograpic Collection,NULL,NULL,NULL,27:56.0
1434,BSPP10,Bulletin de la SociÃ©tÃ© philomathique de Paris (10th SÃ©rie),NULL,NULL,NULL,48:40.0
1435,BSPP9,Bulletin de la SociÃ©tÃ© philomathique de Paris (9th SÃ©rie),NULL,NULL,NULL,48:40.0
1436,VIVL,"Verhhandlungen, Internationale Vereinigung fÃ¼r Theoretische und Angewandte Limnologie = Proceedings, International Association of Theoretical and Applied Limnology = Travaux, International Association of ....",NULL,NULL,1.1922 (1923) -,57:49.0
1437,CAH,Cahiers de Biologie Marine,NULL,NULL,"ISSN 0007-9723.  v. 1 in 1960, current.",40:10.0
1438,RBMV,"Revista de Biologia Marina, Valparaiso",NULL,NULL,Vina del Mar.  ISSN 0080-2115.,33:55.0
1439,AMHNV,Anales del Historia Natural de Valparaiso,NULL,NULL,NULL,02:01.0
1440,AUC,Anales de la Universidad de Chile,NULL,NULL,NULL,02:03.0
1441,NJJST,"New Zealand Journal of Zoology, J. Sci. Tech.",NULL,NULL,Wellington.,24:53.0
1443,ARCHNAT,Archives of Natural History,NULL,Z7403 .S68,London.  ISSN 0260-9541.,25:49.0
1444,BMNRJZN,"Boletim do Museu Nacional do Rio de Janeiro, Zoologia, Nova SÃ©rie",NULL,NULL,NULL,48:53.0
1445,RFN,Repertorio Fisico-Natural de la Isla de Cuba,NULL,NULL,NULL,48:52.0
1451,RAIM,Records of the Auckland Institute and Museum,NULL,NULL,"v. 1 in 1930, current.  ISSN 0067-0464",02:23.0
1453,JPCHN,"Journal de Physique, de Chimie et d'Histoire Naturelle",NULL,NULL,NULL,06:05.0
1454,WRMM,"Western Review and Miscellaneous Magazine: a monthly publ., devoted to literature and science, Lexington, KY",NULL,NULL,"v. 1 1819 - v. 4, 1821",55:39.0
1455,MATSYA,Matsya,NULL,NULL,Madras.  ISSN 0253-9341.  Ceased publication.,27:27.0
1456,SFCC,Studies on the Fauna of Curacao and other Caribbean Islands,Studies on the Fauna of Curacao and other Caribbean Islands,NULL,NULL,52:15.0
1457,NCASIB,Novi Commentarii Academiae Scientiarum Instituti Bononiensis,Novi Commentarii Academiae Scientiarum Instituti Bononiensis,NULL,NULL,49:00.0
1458,JMUB,Journal of  Mysore University Bangalore,NULL,NULL,NULL,49:01.0
1460,MSFFH,Memoranda Societatis pro Fauna et Flora Fennica,NULL,NULL,1.1924/25 (1927).,02:32.0
1462,MSEHN,Memorias de la Real Sociedad EspaÃ±ola de Historia Natural Madrid,NULL,NULL,1.1903/10 - 17.1935/1,02:37.0
1463,SAJZ,South African Journal of Zoology.,NULL,QL337 .s65 264,Pretoria.  ISSN 0254-1858.,29:57.0
1465,MRAST,Memorie della Reale Accademia delle Scienze di Torino,NULL,NULL,23.1818 -40.1838,04:11.0
1466,NBFCEFN,"Notas Biologicas de la Facultad de Ciencias Exactas, Fisicas y Naturales, Corrientes, Zoologia","Notas Biologicas de la Facultad de Ciencias Exactas, Fisicas y Naturales, Corrientes, Zoology",NULL,NULL,52:07.0
1467,COMHNC,"Contribuciones ocasionales del Museo de Historia Natural La Salle, Caracas",Contribuciones ocasionales del Museo de Historia Natural La Salle  ADD?,NULL,NULL,36:17.0
1468,CUAESM,"Cornell University, Agricultural Experiment Station, Memoir",NULL,NULL,NULL,13:54.0
1469,NDV,"Notes et documents voltaÃ¯ques: bulletin trimestriel d'information scientifique, Centre VoltaÃ¯que de la Recherche Scientifique.",NULL,NULL,"Ouagadougou.  1.1967/68 - 15.1984,2.  ISSN 0550-0923.",30:40.0
1471,VMNFK,"Videnskabelige Meddelelser fra den Naturhistoriske Forening i KjÃ¸benhavn, Aaret","Videnskabelige Meddelelser fra den Naturhistoriske Forening i KjÃ¸benhavn, Aaret.",QH7 .V53,"The ""den"" in title changed to ""Dansk"" beginning with v. 64 (see VMDNFK for v. 64 and later vols.) but same journal.",49:45.0
1474,NAMHNL,"Nouvelles Archives du MusÃ©um d'Histoire Naturelle, Lyon",NULL,NULL,NULL,49:47.0
1475,SKKH,Suisan Daigakko Kenkyu Hokoku.,NULL,NULL,#NAME?,34:43.0
1478,AANT,American Antiquity,NULL,E51.5 .A434,NULL,51:38.0
1481,RMZ3,Revue et Magasin de Zoologie (SÃ©r. 3),NULL,NULL,NULL,30:32.0
1482,RSN,Revue des sciences naturelles,NULL,NULL,1.1872/73 - 7.1878/79; 2.Ser. 1 = 1879/80 -2.1880-1881; 3.Ser. 1.1881/82 - 4.1884/85,39:39.0
1484,NAMHNP2,"Nouvelles Archives du MusÃ©um d'Histoire Naturelle, Paris (SÃ©rie 2)","Nouvelles Archives du MusÃ©um d'Histoire Naturelle, Paris (SÃ©r. 2)",NULL,NULL,29:23.0
1487,PRIA3,Proceedings of the Royal Irish Academy (Ser. 3),NULL,NULL,NULL,49:56.0
1488,FS,Florida Scientist.  Florida Academy of Sciences.,NULL,NULL,Continues: Quarterly journal of the Florida Academy of Sciences. ISSN 0098-4590.,54:07.0
1489,MKHKSF,"Meddelelser fra Kommissionen for havundersÃ¸gelser, Serie Fiskeri",NULL,NULL,"ISSN 0105-4198.  Cont. by: Meddelelser fra Kommissionen for Denmarks fisjeri-og havundersÃ¸gelser. Serie, fiskeri.",51:07.0
1490,TPCAS,Transactions of the Pacific Committee of the Academy of Sciences of the U.S.S.R.,NULL,NULL,[= Trudy Tichookeanskogo Komiteta Akademii Nauk S.S.S.R.],59:53.0
1493,RQVML,Records of the Queen Victoria Museum.,NULL,NULL,Launceston.  ISSN 0085-5278.,36:14.0
1494,JASC,Journal Assam Scientific Society,NULL,NULL,NULL,50:01.0
1495,CJSBS,Ceylon Journal of Science (Biological Sciences),NULL,QH1883.5 .C49 574.5 C399 (n.s.) v. 1-21,ISSN 0069-2379.  (n.s.) v. 1-21.,08:37.0
1499,JFST,Journal of the Fisheries Society of Taiwan,NULL,NULL,Keelung.  ISSN 0379-4180.,46:49.0
1500,RIFBT,"Report of the Institute of Fishery Biology of Ministry of Economic Affairs and National Taiwan Unversity, Taipei",NULL,NULL,NULL,22:54.0
1501,JNHMTU,Journal of Natural History Museum Tribhuvan University,NULL,NULL,NULL,03:19.0
1503,JSSNH,"Journal of the Siam Society, Natural History Supplement",NULL,NULL,NULL,50:26.0
1504,RAMG,Records of the Albany Museum Grahamstown,NULL,NULL,NULL,50:27.0
1505,OPDIRU,"Occasional Papers of the Department of Ichthyology, Rhodes University",NULL,NULL,NULL,50:28.0
1506,PWAS,Proceedings of the Washington Academy of Sciences,NULL,CAS: Q11 .W37 v.1-13,NULL,54:14.0
1507,IRORID,"Investigational Report.  Oceanographic Research Institute, Durban",NULL,NULL,NULL,02:56.0
1509,IMSUT,"Publications of the Institute of Marine Sciences, University of Texas",NULL,NULL,NULL,58:44.0
1511,VKKZBGW,Verhandlungen der K.-K. zoologisch-botanischen Gesellschaft in Wien,NULL,QL1 .Z83,NULL,03:31.0
1512,DAWW,Denkschriften der Mathematisch-Naturwissenschaftlichen Classe der Kaiserlichen Akademie der Wissenschaften in Wien,NULL,CAS142 .V34 v. 6-103,NULL,30:12.0
1514,AIMZUA,Acta Instituti et Musei Zoologici Universitatis Atheniensis,NULL,NULL,[= Pepragmena ZÃ¶ologikou ErgastÃ©riou & Mouseiou Panepistemiou Athenon].  v. 1 in 1939.,33:08.0
1516,FZHR,"Folia Zoologica and Hydrobiologica, Riga",NULL,574.5 F714 v. 1-12,NULL,05:41.0
1519,RFFUM,Report of the Faculty of Fisheries University of Mie,NULL,NULL,NULL,51:05.0
1520,NZSI,Newsletter of the Zoological Survey of India,NULL,NULL,NULL,51:11.0
1521,JCSIUT,"Journal of the College of Science. Imperial University, Tokyo",NULL,Q77 T64,NULL,35:05.0
1522,JFFIUTZ,"Journal of the Faculty of Science Imperial University of Tokyo. Sec. 4, Zoology","ADD  Tokyo. Sec. 4, Zool.",NULL,NULL,51:13.0
1523,GBN,"Great Basin Naturalist, Provo Utah",NULL,NULL,NULL,51:14.0
1525,BFEBAS,Bulletin of the Far Eastern Branch of the Academy of Sciences U.S.S.R.,NULL,NULL,NULL,51:15.0
1526,TIZAS?,Trudy Instituta Zoologii,NULL,NULL,NULL,51:16.0
1527,EJSNS,Edinburgh Journal of Science (n. s.),NULL,NULL,NULL,51:17.0
1529,RLFBT,"Report - Laboratory of Fishery Biology, Taiwan Fisheries Research Institute",Fisheries Research Institute,NULL,NULL,51:18.0
1530,JAZ,Journal of African Zoology,NULL,CAS 574.5 R328Z,Wavre.  ISSN 0251-074X.  Continues: Revue de Zoologie Africaine.,50:37.0
1532,JBRS,Journal of the Burma Research Society,NULL,NULL,NULL,03:57.0
1535,MSNM,MÃ©moires de la SociÃ©tÃ© impÃ©riale des naturalistes de Moscou,MÃ©moires de la SociÃ©tÃ© ImpÃ©riale des Naturalistes de Moscou,NULL,NULL,28:08.0
1536,MAISSP,MÃ©moires de l'AcadÃ©mie ImpÃ©riale des Sciences de Saint PÃ©tersbourg,NULL,NULL,NULL,41:05.0
1537,MCSKUB,"Memoirs of the College of Science, Kyoto University (Ser. B, Biology)","Memoirs of the College of Science, Kyoto University (Ser. B)",Q77 .M45,NULL,20:07.0
1539,RALSL,Atti della Reale Accademia Ligure di Scienze e Lettere,NULL,NULL,NULL,46:08.0
1540,RBC,Rivista di Biologia Coloniale,NULL,NULL,"Roma.  v. 1, fasc. 1 in 1938.  ISSN 0370-3703.",52:22.0
1544,NMSINM,Nouveaux mÃ©moires de la SociÃ©tÃ© impÃ©riale des naturalistes de Moscou,Nouveaux mÃ©moires de la SociÃ©tÃ© impÃ©riale des naturalistes de Moscou,NULL,NULL,04:16.0
1545,SBB,Summa Brasiliensis Biologiae.,NULL,NULL,Rio de Janeiro.,55:20.0
1546,VNVPRW,Verhandlungen des Naturhistorischen Vereines der preussischen Rheinlande und Westphalens,NULL,NULL,"Continues:Verhandlungen des Naturhistorischen Vereines der Preussischen Rheinlandee  Cont. by: Verhandlungen des Naturhistorischen Vereines der preussischen Rheinlande, Wesstphalens, und des Reg.-Bezirks OsnabrÃ¼k.",38:45.0
1547,TIZPK,"Trudy Institut zoologii i parazitologii, Kirgizskii filial Akademii nauk SSSR","Trudy Institut zoologii i parazitologii, Kirgizskii filial Akademii nauk SSSR.",NULL,[Akademiia nauk Kirgizskoi SSR?],04:33.0
1548,SRGTB,Studi e ricerche sui giacimenti terziari di Bolca.,NULL,NULL,Verona.  ISSN 0587-1239.,03:07.0
1549,NAMHNP3,"Nouvelles Archives du MusÃ©um d'Histoire Naturelle, Paris (SÃ©rie 3)","Nouvelles Archives du MusÃ©um d'Histoire Naturelle, Paris (SÃ©rie 3)",NULL,NULL,04:40.0
1552,BDAIN,Bulletin de DÃ©partment de l'agriculture aux Indies nÃ©erlandaises,NULL,NULL,"Supersedes: Bogor, Java.  Kebun Raya Indonesia = Bulletin de Institut de Buitenzorg.  No. 1-47, 1906-1911.",35:28.0
1554,RNFRL,"Department of Natural Resources, Newfoundland Division of Fishery Research, Annual Report",NULL,NULL,NULL,55:18.0
1555,BFRBC,Bulletin of the Fisheries Research Board of Canada,NULL,NULL,NULL,04:45.0
1556,PZNMNSC,"Publications in Zoology, National Museum of Natural Sciences, Ottawa","Publications in Zoology, National Museum of Natural Sciences (Canada)",NULL,NULL,30:52.0
1558,RFMBSU,"Report Fisheries and Marine Biological Survey, Union of South Africa",Union of South Africa.,NULL,NULL,04:49.0
1559,JRSNSW,Journal of the Royal Society of New South Wales,NULL,NULL,Also: Journal and Proceedings of the Royal Society of New South Wales.,54:39.0
1560,SNS,Science (new series),NULL,QH1 L66 P46.,NULL,04:53.0
1561,BNHSW,Bulletin of the Natural History Society of  Wisconsin,NULL,NULL,NULL,04:55.0
1563,OPSBM,Occasional Papers of the Santa Barbara Museum,NULL,NULL,NULL,04:57.0
1566,MBNHM,Memoirs of the Beijing Natural History Museum,NULL,NULL,NULL,41:22.0
1568,ZANSP,Zapiski Ak. Nauk St. Petersburg,NULL,NULL,5.SÃ©r. 1.1803/06 (1809) - 11.1822 (1830); 7 SÃ©r. 1.1859 - 42.1894/97 (1897),05:03.0
1569,TKYAS,Transactions Kentucky Academy of Science,NULL,NULL,NULL,05:09.0
1570,MPMLPS,Memoirs and Proceedings of the Manchester Literary and Philosophical Society,Memoirs and Proceedings of the Manchester Literary and Philosophical Society.,NULL,NULL,05:08.0
1571,TNDV2,"Tijdschrift der Nederlandsche Dierkundige Vereeniging, Ser. 2","Tijdschrigt der Nederlandscfhe Dierkundige Vereenining, Ser. 2",NULL,'s-Gravenhage: vol.  1.1872/74 - 6.1882/85; 2.Ser. 1.1885/87 - 20.1927; 3.Ser. 1.1928/29 - 3.1933,59:24.0
1572,ASNGF,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft Frankfurt-a.-M.,NULL,NULL,NULL,05:16.0
1573,VKAWA2,Verhandelingen der Koninklijke Akademie van Wetenschappen (Amsterdam) (Sect. 2),Verhandelingen der Koninklijke Akademie van Wetenschappen (Amsterdam) (Sect. 2),Q57. V47,NULL,05:20.0
1576,BBMNHHS,Bulletin of the British Museum (Natural History) Historical Series,ADD Historical Series,NULL,London.  ISSN 0068-2306.,39:26.0
1578,RZSNSW,"Royal Society of New South Wales, Zoological Handbook",NULL,NULL,NULL,05:24.0
1583,JVFUT,"Journal of Veterinary Faculty, University of Tehran",NULL,NULL,ISSN 0042-0123.,57:18.0
1584,MFSKUD,"Memoirs of the Faculty of Science, Kochi University (Ser. D) (Biology)",NULL,NULL,ISSN 0389-0287.  = kochi Daigaku Rigakubu.,58:49.0
1585,GAL,Galaxea,NULL,NULL,Nishihara.  ISSN 0287-6779.,59:42.0
1590,ARB,Atoll Reseach Bulletin,NULL,QH541.5.C7 A86,ISSN 0077-5630.,00:29.0
1591,RCSM,RÃ©sultats des campagnes scientifiques accomplies sur son yacht par Albert 1er Monaco.,NULL,NULL,NULL,46:55.0
1595,NRMMM2,"Notas y rÃ©sumenes, Instituto EspaÃ±ol de Oceanografia; Ministerio de Marin. Madrid (Ser. 2)",NULL,NULL,NULL,05:43.0
1596,BPM,Boletin de pescas.  Madrid,NULL,NULL,v. 1 in 1916.  Continued by:  Boletin de oceanografia y pesca.,33:20.0
1598,BSEHN,BoletÃ­n de la Sociedad EspaÃ±ola de Historia Natural.  Madrid,NULL,NULL,1.1901 - 36.1936.,05:51.0
1600,TELPM,"Trabajos, EstaciÃ³n Limnologica de Patzcuaro",NULL,NULL,"Pitzcuaro, Mexico.  Nos. 1-3 in 1940.",38:45.0
1601,PCSOMIM,"Publicaciones Cientificas, Servicio Oceanografico y de Pesca, Ministerio de Industrias y Trabajo, Montevideo","Publicaciones Cientificas, Servicio Oceanografico y de Pesca, Ministerio de Industrias y Trabajo, Montevideo",NULL,NULL,51:58.0
1602,MISOM,"Memorias del Instituto EspaÃ±ol de Oceanografia, Madrid",NULL,NULL,NULL,26:02.0
1603,AZP4,"Archives de Zoologie ExpÃ©rimentale et GÃ©nÃ©rale: Histoire Naturelle, Morphologie, Histologie, Ã‰volution des Animaux fondÃ©es par Henri de Lacaze-Duthiers, Notes et Revue, SÃ©r. 4",NULL,NULL,4.SÃ©r. 1=31.1903 - 10=40.1909,20:47.0
1605,AMHNP,"Annales du MusÃ©um d'Histoire Naturelle, Paris",NULL,QH3 .P3,"v. 6.1805 - 20.1813; 21, 1827.  Continued as: Nouvelles Annales du MusÃ©um d'Histoire Naturelle, Paris.",04:17.0
1607,ASHN,Rapport annuel sur les travaux de la SociÃ©tÃ© d'Histoire de l'Ile Maurice (lu Ã  la sÃ©ance anniversaire).  Maurice,NULL,NULL,1.1830 - 13.1842,06:16.0
1608,KUSB,Kansas University Science Bulletin,NULL,Q1 .K17 v. - present,NULL,06:44.0
1609,TISCZ,"Travaux de l'Institut Scientifique ChÃ©rifien, SÃ©rie Zoologie",NULL,NULL,NULL,52:06.0
1610,GSNEP,"Giornale di scienze naturali ed economiche, Palermo",NULL,NULL,v. 1 in 1866.,03:59.0
1611,AASPNS,"Atti della Accademia di Scienze, Lettere ed Arti di Palermo (Nuova Serie)",NULL,NULL,NULL,52:19.0
1612,GSNP,"Giornale di scienze naturali ed economiche, SocietÃ  Naturali ed Economiche di Palermo",NULL,NULL,1.1865,08:36.0
1614,BIRHNS,"Izvestija na Carskite Prirodonaucni Instituti va Sofija = Mitteilungen aus den KÃ¶niglichen Naturwissenschaftlichen Instituten in Sofia, Bulgraien = Bulletin des Institutions Royales d'Histoire Naturelle Ã  Sofia, Bulgarie",NULL,NULL,1.1928 - 16.1943,30:19.0
1615,KL,Kosmos LwÃ³w,NULL,NULL,NULL,03:06.0
1616,MAIR,"Memorie della Classe di Scienze Fisiche, Matematiche e Naturali, Reale Accademia d'Italia Roma",NULL,NULL,"1-14, 1930-1944",24:38.0
1617,RMZ2,Revue et Magasin de Zoologie (SÃ©r. 2),NULL,NULL,Replaces: Rev. Zool. after v. 11.,44:43.0
1618,BSAP,Bulletin de la SociÃ©tÃ© d'Acclimatation Paris,NULL,NULL,NULL,14:01.0
1619,SVVSH,Schriften des Naturwissenschaftlichen Vereins fÃ¼r Schleswig-Holstein.,NULL,NULL,Kiel.  ISSN 0077-6165.  Bd. 1 - 1873/75.  Suspended 1942-1947.,56:00.0
1620,DF,Der Fischerbote,NULL,NULL,NULL,52:52.0
1621,FVSC,Forhandlinger i Videnskabs-selskabet i Christiania,NULL,506 N83AF  IS LINKED,"In title, Christiania changed to Kristiania with volume for 1913 (1914).  Succeeded by Avhandlinger utgitt av det Norske Videnskaps-Akademi I Oslo I. Matematisk Naturvidenskapelig Klasse beginning 1925 (1926).",53:08.0
1622,HWM,HelgolÃ¤nder wissenschaftliche Meeresuntersuchungen,NULL,NULL,NULL,09:00.0
1624,RUSFC,"United States Commission of Fish and Fisheries, Report of the Commissioner",NULL,NULL,NULL,29:20.0
1625,MAGZ,Magasin de Zoologie,NULL,NULL,NULL,08:12.0
1626,MARBIO,Marine Biology,NULL,NULL,"ISSN 0025-3162 (print), 1432-1793 (electronic).",23:16.0
1628,TCIS,Transactions of the Chinese Ichthyological Society,NULL,NULL,ISSN 1000-3339.,04:50.0
1631,OFSSSR,Opredeliteli Faune SSSR,NULL,NULL,NULL,08:47.0
1632,TMCNZM,Trabajos del Museo Nacional de Ciencias Naturales. Serie ZoolÃ³gica.,NULL,NULL,Madrid.,44:28.0
1633,INQ,"Ichthyological Notes, Department of Harbours and Marine, Queensland",NULL,NULL,NULL,35:21.0
1634,AKDVSNK,"Det Kongelige Danske Videnskabernes Selskabs Naturvidenskabelige og Mathemastiske Afhandlinger, KÃ¸benhavn (Series 4)",Abhandlungen K. Danske KjÃ¸benhavn,NULL,1.1824 - 12.1846,09:43.0
1635,MSTSN,Atti della SocietÃ  Toscana di Scienze Naturali.  MemoriÃ©,NULL,QH7 .A875 Ser. A,NULL,35:22.0
1636,ASNM,Annuario della SocietÃ  dei naturalisti in Modena,NULL,NULL,"15 vol, anno 8-15 = second series.",03:52.0
1637,RFAV,Revista de la Facultad de AgronomÃ­a y Veterinaria de la Universidad de Buenos Aires,NULL,NULL,"1.1917, July - 19.1971, March.",09:13.0
1638,AMNHNBR,"Anales del Museo Nacional Hist. Nat. ""Bernardino Rivadvia"", Buenos Aires","Rivadvia"", Buenos Aires",NULL,NULL,53:07.0
1639,CZMVR,Korrespondenz-Blatt des Zoologisch-mineralogischen Vereines in Regensburg,NULL,NULL,NULL,20:22.0
1640,NCASIP,Novi Commentarii Academiae Scientiarum Imperialis Petropolitanae,Novi Commentarii Academiae Scientiarum Imperialis Petropolitanae,NULL,NULL,53:09.0
1643,CRIZBFA,"Contributions from the Research Institute of Zoology and Botany, Fukien Provincial Academy","Contributions from the Research Institute of Zoology and Botany, Fukien Provincial Academy",NULL,NULL,53:12.0
1645,BCPFES,"Bulletin of the Chekiang Provincial Fisheries Experiment Station, Tinghai, Chekiang, China",NULL,NULL,NULL,03:28.0
1646,PALV,Palaeovertebrata,NULL,NULL,NULL,53:14.0
1649,OSVAF,Ã–fversigt af Kongliga Vetenskaps-akademiens Forhandlingar,NULL,NULL,NULL,46:51.0
1651,DVSSK5,"Det Kongelige Danske Videnskabernes Selskabs Skrifter, Naturvidenskabelig og mathematisk afdeling, KjÃ¸benhavn (Ser. 5)",NULL,NULL,NULL,49:18.0
1652,AASN,"Atti della Accademia di scienze Napoli. Atti della Raele Academia delle Science, Sezione della SocietÃ  Reale Borbonica, Class di Fisica e di Storia Naturelem, Nappli.",NULL,NULL,NULL,16:44.0
1653,OFVSF,Ã–fversigt af Finska Vetenskaps-Societetens FÃ¶rhandlingar,NULL,NULL,"v. 1-64, 1838-1922; v. 51-64 in 3 series.",22:12.0
1654,FSN,FÃ¶rhandlingar vid de Skandinaviske Naturforskarnes.,NULL,NULL,FÃ¶rhandlinger Skandinaviske naturforskeres; Forhandlinger ved de Skandinaviske naturforskeres.  Vols. 1-15; 1839-98,39:59.0
1655,GKVVH,GÃ¶teborgs Kongliga Vetenskaps och Vitterhets SamhÃ¤lles Handlingar,NULL,NULL,3.1819-5.1822; N.S. 1:1829-32.1896-33.1925/28 (1928).,14:23.0
1657,TSK,Transactions Sigenkagaku Kenkyusyo,NULL,NULL,NULL,09:43.0
1658,JSK,The Journal of the Sigenkagaku Kenkyusyo,NULL,NULL,NULL,20:19.0
1659,JIFIT,Journal of the Imperial Fisheries Institute Tokyo,NULL,NULL,NULL,09:46.0
1660,SK,Suisan Kenkyu-Shi,NULL,NULL,NULL,40:37.0
1661,KMMAT,Koninklijk Museum voor Midden-Afrika = MusÃ©e royal de l'Afrique centrale = KÃ¶nigliches Museum fÃ¼r Zentral-Afrika = Royal Museum for Central Africa.,NULL,NULL,Tervuren.,54:24.0
1663,BIOF,Bulletin of the Institute of Oceanography and Fisheries,NULL,NULL,"Cairo, Alexandria.  ISSN 0374-6267.",09:06.0
1664,RMPI,Rivista Mensile di Pesca e Idrobiologia (Pavia),NULL,NULL,NULL,47:54.0
1666,BPSW,Bulletin of the Philosophical Society of Washington,NULL,NULL,NULL,09:55.0
1667,TSBS,Trudy Sevastopol'skoi Biologicheskoi Stantii Akademii Nauk SSSR,NULL,NULL,NULL,37:20.0
1673,IPFISH,Indo-Pacific Fishes,NULL,QL622 .I52,NULL,15:51.0
1674,OSB,"Opuscoli Scientifici, Bologna",NULL,NULL,NULL,10:02.0
1675,PAICZ1,Proceedings of the All-India Congress of Zoology,NULL,NULL,NULL,39:13.0
1676,JVVNW,Jahreshefte des Vereins fÃ¼r VaterlÃ¤ndische Naturkunde in WÃ¼rttemberg,Jahreshefte des Vereins fÃ¼r VaterlÃ¤ndische Naturkunde in WÃ¼rttemberg,CAS 506 W965 VJ,NULL,54:26.0
1677,CRASMNS,Comptes rendus (Doklady) de l'AcadÃ©mie des Sciences de l'URSS.,NULL,NULL,"Moscou (Acadeemie des Sciences).  N.S. AnnÃ©e 1.1933 - 15.1947,2 = T. 1-56.",48:43.0
1678,BOOK,Biologia Centrali-Americana,NULL,NULL,NULL,47:08.0
1679,TLSL2,The Transactions of the Linnean Society of London. Second Series. Zoology,The Transactions of the Linnean Society of London. Second Series. Zoology,CAS: QH1 .L56,NULL,54:47.0
1680,BATNEZ,"British Antarctic (""Terra Nova"") Expedition (1910-1913).  Zoology",NULL,NULL,NULL,10:25.0
1681,RAHPE,Report Allan Hancock Pacific Expedition 1932-1938,NULL,NULL,NULL,54:51.0
1684,AZSZBFV,Annales zoologici Societatis zoologicae Botanicae Fennicae Vanamo,NULL,QL1 .A557,? Also seen as Annales Zoologici Feninici,59:53.0
1685,NMFSTM,NOAA Technical Memorandum. NMFS-SWFC,NULL,NULL,NULL,56:57.0
1686,RAPP,Rapports et procÃ¨s-verbaux des rÃ©unions / Conseil permanent international pour l'exploration de la mer,NULL,NULL,NULL,10:40.0
1688,MCAS,Memoirs of the California Academy of Sciences,NULL,NULL,NULL,54:56.0
1689,GALR,Galathea Report,NULL,QL121 .D365,NULL,53:08.0
1692,RCSPAI,"RÃ©sultats des Campagnes Scientifiques accomplies sur son Yacht par Albert 1er, prince souverain de Monaco",NULL,NULL,"v. 1-108, 1889-1948",35:03.0
1693,RSI,Report of the Smithsonian Institution,NULL,NULL,NULL,55:02.0
1694,MS,"Museum Senckenbergianum: Abhandlungen aus dem Gebiete der beschreibenden Naturgeschichte, von Mitgliedern der Senckenbergischen Naturforschenden Gesellschaft in Frankfurt am Main",NULL,NULL,"Frankfurt am Main, 1.1834 - 3.1839/45.",03:06.0
1697,PRSV,Proceedings of the Royal Society of Victoria,NULL,506 V666RP,NULL,55:04.0
1698,AZEG,Archives de zoologie expÃ©rimentale et gÃ©nÃ©rale (Paris),NULL,NULL,NULL,36:40.0
1700,ASN6,"Annales des Sciences Naturelles, Paris (Zoologie et PalÃ©ontologie) (SÃ©r. 6)",NULL,QH 3 .A62,Paris (Masson). 1.1874 - 20.1885.  ISSN 0150-9330.,21:12.0
1702,NJM,"Neues Jahrbuch fÃ¼r Mineralogie, Geognosie, Geologie und Petrefakten-Kunde (! Abhandlungen).",NULL,NULL,NULL,00:39.0
1704,UWPF,"Publications in Fisheries, Seattle, Washington",NULL,NULL,NULL,15:00.0
1706,TLSL,The Transactions of the Linnean Society of London,NULL,QH1 .L56 v. 1-30 1791-1875.,"For date of publ. see Raphael, 1970, Biol. J. Linn. Soc.  2:61-76 [ref. 29857].",27:23.0
1707,AOT,Acta Oceanographica Taiwanica,NULL,NULL,Taipei.  ISSN 0379-7481.,06:14.0
1708,TMSPS,Taiwan Museum Special Publications Series,NULL,NULL,Taipei.  ISSN 1010-1683.,15:46.0
1709,PAPPAL,Papers of the Paleontological Museum of Zoology University of Michigan,NULL,NULL,NULL,31:51.0
1710,VV,Veld & Vlei,NULL,NULL,NULL,55:15.0
1714,TOL,Haiyang-huzhai-tongbao: jikan = Transactions of Oceanology and Limnology / Haiyang-huzhaoptongbao Bianweihui bianji.,NULL,NULL,Qingdao.  No 1 1979.,31:44.0
1715,RIFRD,"Reports from the Swedish State Institute of fresh-water fishery research, Drottningholm",NULL,NULL,NULL,32:10.0
1716,TSLB,Travaux de la Station Limnologique du Lac Baikal [= Trudy Baikal'skoi limnologicheskoi stantsii],NULL,NULL,v. 1 in 1931.  Cont. by: Trudy Limnologicheskogo instituta.,33:14.0
1717,PZIAN,"Proceedings of the Zoological Institute, Academy of Sciences, St.-Petersburg",NULL,NULL,NULL,00:14.0
1718,STZMM,Archives of Zoological Museum Moscou State University.,NULL,NULL,1.1934 - .  = Sbornik trudov Zoologiceskogo Muzeja; = Archiver du MusÃ©e Zoologique de l'UniversitÃ© de Moscou.,05:35.0
1719,TFSUP,"ThÃ¨ses: prÃ©sentÃ©es Ã  la FacultÃ© des Sciences de Paris pour obtenir le grade de docteur des sciences naturelles, SÃ©r. A.",NULL,NULL,Paris.  7.1872 - 1548.1935.,54:24.0
1720,ZSPSB,Zoologica Sinica Ser. B,NULL,NULL,NULL,55:23.0
1721,ZJA,"Zoologische JahrbÃ¼cher: Zeitschrift fÃ¼r Systematik, Geographie und Biologie der Tiere, Abteilung fÃ¼r Anatomie und Ontogenie der Tiere. Jena, Stuttgart.",NULL,NULL,3.1888 (1889) - 123.1993.  Later title: Zoology.  Amsterdam/Jena (Elsevier).,00:04.0
1724,MZINS,"Monitore Zoologico Italiano, N. S., suppl.",NULL,NULL,NULL,55:25.0
1725,JAP,Journal of Anatomy and Physiology,NULL,NULL,NULL,55:26.0
